User_id,Name,Surname,Phone_Number,ID_Number,Password,Created_at
1,Alice,Johnson,831251695, 9506231234567,KEQD6%54kQFs,2025-01-01
2,Bob,Smith,721814576,7593554893301,YV38Go\i;#l1,2025-02-15
3,Charlie,Davis,835620304,9897071567848,"vU[523""#P£X:",2025-03-05
4,Jacob,Willemse,726589354,9703571606041,mtzPYuryrL,2024-07-07
5,John,Van wyk,832469535,7236279446272,AN3UbILc$9,2024-05-09
6,Kyle,Adams,839957836,9997078957848,ByNtqQvOBW,2024-12-16
7,David,Mosbey,831143287,9473661626075,CkXLv2cwDX,2024-08-13
8,Alice,Doe,723662578,9393884414976,5@1ThkBBNc,2024-07-30
9,Caitlyn,Stinson,834526788,8222261833469,Z09hw1&^^i,2024-06-05
10,Megan,Doe,723661692,7593554693301,585thk@QzG,2024-11-08
stock_id,symbol,company_name,sector
101,AAPL,Apple Inc.,Technology
102,TSLA,Tesla Inc.,Automotive
103,GOOGL,Alphabet Inc.,Technology
104,AMZN,Amazon.com Inc.,E-Commerce
105,MSFT,Microsoft Corp.,Technology
106,NFLX,Netflix Inc.,Entertainment
107,NVDA,NVIDIA Corp.,Semiconductors
108,FB,Meta Platforms Inc.,Social Media
109,INTC,Intel Corp.,Semiconductors
110,IBM,IBM Corp.,Technology
111,ORCL,Oracle Corp.,Software
112,DIS,The Walt Disney Co.,Entertainment
113,PYPL,PayPal Holdings Inc.,Finance
114,UBER,Uber Technologies Inc.,Transportation
115,ADBE,Adobe Systems Inc.,Software
transaction_id,user_id,stock_id,type,quantity,price,transaction_date
1001,1,101,BUY,10,150,2025-01-05
1002,1,102,BUY,5,900,2025-01-10
1003,2,103,BUY,8,2800,2025-02-20
1004,3,101,BUY,15,155,2025-03-08
1005,9,115,SELL,-3,2552,2025-02-21
1006,2,109,BUY,31,2768,2024-11-14
1007,4,110,BUY,50,333,2024-12-29
1008,3,114,BUY,19,2583,2025-01-18
1009,8,110,BUY,35,2328,2024-12-26
1010,1,101,BUY,47,2140,2024-09-13
1011,9,112,BUY,17,2430,2025-02-06
1012,6,113,BUY,28,2701,2024-12-07
1013,2,101,BUY,43,1647,2024-11-22
1014,8,115,SELL,-32,588,2024-10-19
1015,4,113,BUY,11,2846,2025-02-12
1016,5,107,BUY,16,1717,2025-02-02
1017,8,101,SELL,-10,2832,2025-01-12
1018,9,113,BUY,8,116,2024-10-31
1019,10,115,SELL,-2,2991,2024-11-08
1020,4,109,BUY,18,1497,2024-12-14
1021,1,115,SELL,-46,328,2025-02-05
1022,6,106,BUY,22,139,2025-01-07
1023,3,103,SELL,-2,2473,2025-01-02
1024,2,107,SELL,-7,196,2024-11-19
